#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,72.80883800000001,2026-07-07T14:37:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,72.56317150000001,2026-07-07T14:38:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,72.3365785,2026-07-07T14:39:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.440247,2026-07-07T14:25:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.5150145,2026-07-07T14:26:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.612671,2026-07-07T14:27:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.737030000000004,2026-07-07T14:28:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.7309265,2026-07-07T14:29:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.663025000000005,2026-07-07T14:30:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.845367499999995,2026-07-07T14:31:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.761444,2026-07-07T14:32:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.703461000000004,2026-07-07T14:33:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.712616,2026-07-07T14:34:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.6409,2026-07-07T14:35:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.65921,2026-07-07T14:36:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.852997,2026-07-07T14:37:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.8148495,2026-07-07T14:38:00Z
,,2,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,43.8476565,2026-07-07T14:39:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.193909,2026-07-07T14:25:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.213935499999998,2026-07-07T14:26:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.2032545,2026-07-07T14:27:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.2126005,2026-07-07T14:28:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.175216499999998,2026-07-07T14:29:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.193909,2026-07-07T14:30:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.200584499999998,2026-07-07T14:31:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.2085955,2026-07-07T14:32:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.180557,2026-07-07T14:33:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.2366335,2026-07-07T14:34:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.243309,2026-07-07T14:35:00Z
